date,index_level,divisor,notes
2024-03-30,2617.512213453589,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-31,2679.6993611424277,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-01,2618.6057872980086,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-02,2459.88726042841,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-03,2479.951146185644,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-04,2575.249906050357,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-05,2550.0375798571968,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-06,2589.5753476136792,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-07,2607.5197294250283,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-08,2692.596768132281,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-09,2599.01916572717,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-10,2653.596392333709,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-11,2632.3337091319054,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-12,2525.5618188650883,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-13,2406.7042465238633,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-14,2468.996617812852,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-15,2382.878617061255,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-16,2398.8199924840283,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-17,2303.059000375799,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-18,2386.6629086809467,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-19,2399.4400601277716,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-20,2442.453964674934,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-21,2440.947012401353,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-22,2511.5144682450205,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-23,2496.046599022924,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-24,2416.0578729800827,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-25,2423.491168733559,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-26,2395.7459601653513,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
